collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;cou_789;QINGSHUIYI Gansu (清水);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_262;;106.136581;34.746304;N;MDYZK;
courier;cou_790;QINZHOU Gansu (秦州);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16780;;105.376755;34.637745;N;MDYZK;
courier;cou_791;NINGYUANYI Gansu (宁远);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_256;;104.885292;34.720016;N;MDYZK;
courier;cou_792;TONG’ANYI Gansu (通安驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_239;;104.635605;35.007137;N;MDYZK;
courier;cou_793;DONGHEQIAOYI Shaanxi (东河桥驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_133144;;106.946062;34.234486;Y;MDYZK;
courier;cou_794;SONGLINYI Shaanxi (松林驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_133215;;106.512787;33.918312;Y;MDYZK;
courier;cou_795;LINHONGGUANYI Gansu (临红关驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16801;;104.938194;33.064072;Y;MDYZK;
courier;cou_796;PINGLUOYI Gansu (平落驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16800;;105.412056;33.557289;Y;MDYZK;
courier;cou_797;HUISHANYI Gansu (徽山驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_265;;106.086670;33.777554;Y;MDYZK;
courier;cou_798;HUANGHUAYI Gansu (黄花驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_264;;106.298553;33.909630;Y;MDYZK;
courier;cou_799;SHAZEIQIAOYI Gansu (杀贼桥驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_151757;;104.498474;33.692791;N;MDYZK;
courier;cou_800;JIEZHOU Gansu (阶州);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70915;;104.913358;33.394630;Y;MDYZK;
courier;cou_801;DANGCHANGYI Gansu (宕昌驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16793;;104.395683;34.050892;Y;MDYZK;
courier;cou_802;MINSHANYI Gansu (岷山驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_257;;104.030251;34.436455;Y;MDYZK;
courier;cou_803;JIUDIANYI Gansu (酒店子驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_151271;;104.148955;34.701915;Y;MDYZK;
courier;cou_805;ZHUODANYI Gansu (桌旦驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_255;;104.472138;34.850636;L;MDYZK;
courier;cou_806;QINGJIAYI Gansu (青家驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_151310;;105.434918;35.702480;Y;MDYZK;
courier;cou_807;XIGONGYI Gansu (西巩驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_151222;;104.846504;35.658009;Y;MDYZK;
courier;cou_808;TONG'ANYI Gansu (通安驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_151150;;104.677536;35.300167;Y;MDYZK;
courier;cou_809;MADAOYI Shaanxi (马道驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_959;;106.927345;33.619236;Y;MDYZK;
courier;cou_810;SHUNZHENGYI Shaanxi (顺政驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1728;;106.621712;33.151005;Y;MDYZK;
courier;cou_811;JINNIUYI Shaanxi (金牛驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_132142;;106.381650;33.074981;Y;MDYZK;
courier;cou_812;YANGPINGYI Shaanxi (阳平驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_20030;;106.291878;33.043064;Y;MDYZK;
courier;cou_813;HUANGBAYI Shaanxi (黄坝驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_972;;106.255309;32.819333;Y;MDYZK;
courier;cou_814;SHENXUANYI Sichuan (神宣驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163577;;105.967221;32.670537;Y;MDYZK;
courier;cou_815;CHAOTIANYI Sichuan (朝天驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163571;;105.892380;32.629005;Y;MDYZK;
courier;cou_816;SHAHEYI Sichuan (沙河驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163572;;105.852608;32.548527;Y;MDYZK;
courier;cou_817;BAILINYI Sichuan (柏林驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163589;;105.878792;32.093100;Y;MDYZK;
courier;cou_818;LONGTANYI Sichuan (龙潭驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163588;;105.850066;32.318443;Y;MDYZK;
courier;cou_819;LIUBIANYI Sichuan (柳边驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163561;;105.719035;31.373318;Y;MDYZK;
courier;cou_820;FUCUNYI Sichuan (富村驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165975;;105.542372;31.314594;N;MDYZK;
courier;cou_821;YUNXIYI Sichuan (云谿驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1203;;105.376114;31.229305;Y;MDYZK;
courier;cou_822;QIULINYI Sichuan (秋林驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_21617;;105.243111;31.146027;Y;MDYZK;
courier;cou_823;XIPINGYI Sichuan (西平驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163883;;104.778015;32.040749;Y;MDYZK;
courier;cou_824;XIAOXIYI Sichuan (小谿驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163890;;104.772395;32.280071;Y;MDYZK;
courier;cou_825;GUCHENGYI Sichuan (古城驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163880;;104.633758;32.385517;Y;MDYZK;
courier;cou_827;SHUIJINYI Sichuan (水进驿);;;104.220581;32.498642;N;MDYZK;
courier;cou_828;XIAOHEYI Sichuan (小河驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163987;;104.153397;32.596974;Y;MDYZK;
courier;cou_829;SANSHEYI Sichuan (三舍驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_35770;;103.899717;32.790052;Y;MDYZK;
courier;cou_830;JIANNINGYI Sichuan (建宁驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164006;;104.875994;31.077287;Y;MDYZK;
courier;cou_831;GUDIANYI Sichuan (古店驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164063;;104.499779;30.998730;Y;MDYZK;
courier;cou_832;TAIPINGYI Sichuan (太平驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165918;;103.499463;31.146370;Y;MDYZK;
courier;cou_833;ZHENPINGYI Sichuan (镇平驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163963;;103.769798;32.234016;Y;MDYZK;
courier;cou_834;LAIDAYI Sichuan (来达驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_166107;;103.681000;32.043175;Y;MDYZK;
courier;cou_835;CHANGNINGYI Sichuan (长宁驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165904;;103.780584;31.784892;Y;MDYZK;
courier;cou_836;GUIHUAYI Sichuan (归化驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_163988;;103.626694;32.567978;Y;MDYZK;
courier;cou_837;MUMAYI Sichuan (木马驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165096;;104.066666;30.500000;Y;MDYZK;
courier;cou_838;BAIZHANGYI Sichuan (百丈驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_167088;;103.257194;30.190763;Y;MDYZK;
courier;cou_839;XILONGYI Sichuan (谿龙驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_166361;;102.182885;28.131183;Y;MDYZK;
courier;cou_840;LUMAYI Sichuan (禄马驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_166365;;102.207599;27.720612;Y;MDYZK;
courier;cou_841;LUODONGYI Sichuan (罗东驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164251;;104.430573;28.637812;Y;MDYZK;
courier;cou_842;NIXIYI Sichuan (泥溪驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1294;;104.161314;28.656731;Y;MDYZK;
courier;cou_843;MANYISI Sichuan (曼彝司);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164453;;103.906244;28.741230;Y;MDYZK;
courier;cou_844;TONGYOUYI Sichuan (通邮驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164595;;105.350438;28.580929;Y;MDYZK;
courier;cou_845;JIANGMENYI Sichuan (江门驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164485;;105.328323;28.459982;Y;MDYZK;
courier;cou_846;YONG'ANYI Sichuan (永安驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164487;;105.368881;28.384291;Y;MDYZK;
courier;cou_847;CHISHUIWEI Sichuan (赤水驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164507;;105.580269;27.729265;N;MDYZK;
courier;cou_848;MONIYI Sichuan (摩泥驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164508;;105.594856;27.847624;Y;MDYZK;
courier;cou_849;PUSHIYI Sichuan (普市驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_164509;;105.558022;27.927679;Y;MDYZK;
courier;cou_850;YONG'ANYI Sichuan (永安驿);;;105.469381;28.064636;Y;MDYZK;
courier;cou_851;BIJIEYI Guizhou (毕节驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_466;;105.284004;27.308081;N;MDYZK;
