"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"af1ccc4f-773e-4adc-a9cb-cfd780f9becc","Italy","char-offset:33824","PLACE","http://sws.geonames.org/3175395","Italy","42.78740074008558","12.081074295699182","","UNVERIFIED","",""
"70cff38d-d7e9-48ae-aa51-e749141c2f84","Appia","char-offset:33870","PLACE","http://pleiades.stoa.org/places/356966898","Via Appia","41.32701816113951","14.22498490948713","road","VERIFIED","",""
"cebae562-0bd9-4638-a7a1-ebaea24ee330","Latina","char-offset:33878","PLACE","http://sws.geonames.org/3175058","Latina","41.46614","12.9043","","UNVERIFIED","",""
"bd2bd68f-9fed-46ad-8127-97422a463376","Tibertina","char-offset:33889","PLACE","","","","","","UNVERIFIED","",""
"c4794c0e-aacd-4364-a63d-ed45e694bf49","Liris","char-offset:33950","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","UNVERIFIED","",""
"2c89b9b1-78d4-47cd-867e-5bbba8c6b782","Sinuessa","char-offset:33963","PLACE","http://pleiades.stoa.org/places/433122","Sinues(s)a/Sinope|Sinuessa/Sinuesa/Sinope, Mondragone","41.149444","13.85","settlement-modern,settlement","UNVERIFIED","",""
"32c8b7ef-70d6-4202-ad34-21357afaf2be","Caieta","char-offset:33976","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","",""
"71d689f7-9cf7-499b-a929-33f5ebf5f53c","Rome","char-offset:34374","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"90534d14-fc14-4b25-917e-54b4c99a1224","Terracina","char-offset:34382","PLACE","http://sws.geonames.org/3165762","Terracina","41.29174","13.24359","","VERIFIED","",""
"4dc48e96-857e-4d70-a11e-0c42aee6bf0e","Marinum","char-offset:34431","PLACE","http://pleiades.stoa.org/places/338247","Ad Oculum Marinum","","","unlocated","UNVERIFIED","w",""
"8c8194bc-41ba-4dc4-b721-a83a3ad8db1b","Villa Mariana","char-offset:34535","PLACE","","","","","","UNVERIFIED","",""
"84a3713b-43ec-4580-8ccf-44969d9a9b11","Portium","char-offset:34584","PLACE","","","","","","UNVERIFIED","",""
"9855c49d-d961-49d0-8aa9-4bd34d71d73e","Marinum","char-offset:34723","PLACE","http://pleiades.stoa.org/places/338247","Ad Oculum Marinum","","","unlocated","UNVERIFIED","",""
"e8967e11-e30c-4f0f-8839-8051f9b4095e","Zagarolum","char-offset:34790","PLACE","","","","","","UNVERIFIED","town",""
"ce33eb32-8344-44ca-8193-70b11e216e7a","Lanuvium","char-offset:34860","PLACE","http://pleiades.stoa.org/places/422956","Lanuvium|Lanuvium, Lanuvio|Lanuvio","41.67439","12.6974","settlement","UNVERIFIED","",""
