id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
465;465;ad rota;Rota;;;;;Quodrata;11;mile;;;
466;466;tribus tabernis;Tres Tabernæ;;;;;;5;mile;;;
467;467;laude;Laude;;;;Laus Pompeia;Lodi Vecchio;9;mile;;;
468;468;ad nonum;9th milestone;;;;;;7;mile;;;
469;469;mediolanum;Mediolanum;;;;;Milan;7;mile;;;
313;313;hierusalem;Jerusalem;;;;;Jerusalem;12;mile;;http://pleiades.stoa.org/places/687928;Ierusalem/Hierosolyma/Col. Aelia Capitolina|Ierusalem/Hierosolyma/Col. Aelia Capitolina, Jerusalem
307;307;caesarea palestina;Cæsarea Palæstina;Cesarea Palestina;;;;;8;mile;;http://pleiades.stoa.org/places/678401;Stratonos Pyrgos/Caesarea|Caesarea/Stratonos Pyrgos, Caesarea
138;138;sirmium;Sirmium;;;;;Mitrowitza;8;mile;;http://pleiades.stoa.org/places/207447;Sirmium|Sirmium, Sremska Mitrovica|Sremska Mitrovica
99;99;aquileia;Aquileia;;;;;Aquileia;11;mile;;http://pleiades.stoa.org/places/187290;Aquileia|Aquileia, Aquileia|Aquileia
202;202;beodizo;Beodizum;;;;;;8;mile;;http://pleiades.stoa.org/places/511357;Perinthus/Heraclea|Perinthus/Heraclea, Marmara Ereğlisi Adliyesi
242;242;delemna;Delemna;;;;Delemnia;;10;mile;;http://pleiades.stoa.org/places/619161;Galatia
139;139;fossis;Fossi;;;;;;9;mile;;http://pleiades.stoa.org/places/207120;Fossae|Fossae, Sasinci
140;140;bassianis;Bassiani;;;;;;10;mile;;http://pleiades.stoa.org/places/206960;Bassiana|Bassiana, Donji Petrovci
266;266;pargais;Pargais;;Pargas;;;;13;mile;;http://pleiades.stoa.org/places/648733;Pargais|Pargais, near Gökçeler
78;78;argentea;Argentia;;;;;Gorgonzola;10;mile;;http://pleiades.stoa.org/places/383575;Argentea|Argentea, Gorgonzola
141;141;nouiciani;Noviciani;;;;;;12;mile;;http://pleiades.stoa.org/places/207313;‘Noviciani’
267;267;adana;Adana;;;;;Adana;14;mile;;http://pleiades.stoa.org/places/648548;Adana/Antiochia ad Sarum|Adana/Antiochia ad Sarum, Adana
